"filename", "language", "XML", "comment", "blank", "total"
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\AndroidManifest.xml", "XML", 27, 4, 5, 36
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 30, 0, 0, 30
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable\dot.xml", "XML", 5, 0, 1, 6
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable\dot1.xml", "XML", 5, 0, 1, 6
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable\driver.xml", "XML", 5, 0, 1, 6
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 170, 0, 1, 171
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\drawable\settings.xml", "XML", 5, 0, 1, 6
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\layout\activity_maps.xml", "XML", 9, 0, 0, 9
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 5, 0, 0, 5
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 5, 0, 0, 5
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\values\colors.xml", "XML", 22, 0, 4, 26
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\values\strings.xml", "XML", 4, 0, 0, 4
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\values\themes.xml", "XML", 7, 0, 0, 7
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\xml\backup_rules.xml", "XML", 3, 10, 0, 13
"c:\Users\user1\AndroidStudioProjects\tmsV2\app\src\main\res\xml\data_extraction_rules.xml", "XML", 5, 14, 0, 19
"Total", "-", 307, 28, 14, 349